Rank,Cliente_BM,Empresa,Categoria,Gerencia_Obra,Cidade_Sede,Dist_Louveira_km,Telefone,Site,Avaliacao,Qtd_Avaliacoes,Score_ICP,Faixa_ICP,Score_Motivo,Endereco,Google_Maps,Nome_Decisor,Email,Status_Prospeccao,Observacoes
242,,Ecologie Residencial Itatiba,Construtora,Provavel,Itatiba,27,(11) 91471-7277,https://www.ecologieresidencialitatiba.com.br/,4.6,141,60,B - abordar depois,Construtora +30; 27km +10; site +10; tel +5; reputacao +5,"R. Célio Roberto Soares, Itatiba - SP",https://maps.google.com/?cid=9519482022379831617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
243,,Engeon Engenharia,Engenharia,Provavel,Itatiba,27,(11) 97417-9390,https://engeonengenharia.com.br/,,,60,B - abordar depois,Engenharia +35; 27km +10; site +10; tel +5,"Av. Aida Haddad Jafet, 11, Itatiba - SP, 13256-577",https://maps.google.com/?cid=18401952705957763902&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
244,,Escudero engenharia,Engenharia,Provavel,Itatiba,27,(11) 95080-1399,http://escuderoengenharia.com.br/,,,60,B - abordar depois,Engenharia +35; 27km +10; site +10; tel +5,"Rua José Selega, 51 - Morada das Fontes, Itatiba - SP, 13257-593",https://maps.google.com/?cid=1018678715157234724&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
245,,Fernandes Engenharia,Engenharia,Provavel,Itatiba,27,(11) 4487-1148,http://www.fernandesengenharia.com.br/,4.1,8,60,B - abordar depois,Engenharia +35; 27km +10; site +10; tel +5,"R. Afonso Rossi, 860 - Bairro da Ponte, Itatiba - SP, 13251-701",https://maps.google.com/?cid=13129921248067029984&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
246,,GHJ instalaçoes elétricas e hidráulicas Ltda - engenharia eletricidade,Engenharia,Provavel,Itatiba,27,(11) 4524-8119,http://www.ghjinstalacoes.com.br/,4.3,3,60,B - abordar depois,Engenharia +35; 27km +10; site +10; tel +5,"Estr. Mun. Hermenegildo Belgine, 55 - Portal da Colina, Itatiba - SP, 13253-650",https://maps.google.com/?cid=15688595544871882061&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
247,,Ita Madeiras,Construtora,Provavel,Itatiba,27,(11) 4534-0423,http://itamadeiras.com.br/,4.7,372,60,B - abordar depois,Construtora +30; 27km +10; site +10; tel +5; reputacao +5,"Rod. Luciano Consoline, 955 - Jardim de Lucca, Itatiba - SP, 13253-205",https://maps.google.com/?cid=293827207643388010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
248,,JDO Construções Rústicas - Casas de Madeira e Chalés em Itatiba,Construtora,Provavel,Itatiba,27,(11) 94795-0270,http://www.jdoconstrucoesrusticas.com.br/,4.9,27,60,B - abordar depois,Construtora +30; 27km +10; site +10; tel +5; reputacao +5,"Rod. Eng. Constâncio Cintra, km 76,5 - Recanto Princesa da Colina, Itatiba - SP, 13255-866",https://maps.google.com/?cid=12786748628771783415&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
249,,Jéssica Martins Engenharia,Engenharia,Provavel,Itatiba,27,(11) 91700-1321,https://eng.axietech.com.br/,,,60,B - abordar depois,Engenharia +35; 27km +10; site +10; tel +5,"Av. Idalina Tescarolo Sanfins 431 - Bairro da Ponte, Itatiba - SP, 13251-714",https://maps.google.com/?cid=7683205020665629168&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
250,,Kassouf Engenharia Ltda,Engenharia,Provavel,Itatiba,27,(11) 4534-1223,https://kassouf.com.br/,3,2,60,B - abordar depois,Engenharia +35; 27km +10; site +10; tel +5,"R. Quintino Bocaiúva, 240 - 8º Andar - Centro, Itatiba - SP, 13250-320",https://maps.google.com/?cid=6780609511370856551&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
251,,M2 Engenharia e Serviços,Engenharia,Provavel,Itatiba,27,,https://www.m2engenharia.ind.br/,5,13,60,B - abordar depois,Engenharia +35; 27km +10; site +10; reputacao +5,"R. Alexandrina Bugin Franciscon, 295 - Loteamento parque da colina II, Itatiba - SP, 13254-716",https://maps.google.com/?cid=5299701142430839520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
252,,Pellizzer Estruturas Metalicas,Construtora,Provavel,Itatiba,27,(11) 4538-0303,http://www.pellizzer.com.br/,4.7,16,60,B - abordar depois,Construtora +30; 27km +10; site +10; tel +5; reputacao +5,"Av. Fioravante Piovani, 145 - Jardim das Laranjeiras, Itatiba - SP, 13257-700",https://maps.google.com/?cid=5182278925672535234&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
253,,R.A.V. Projects Consultoria e Projetos,Construtora,Provavel,Itatiba,27,(11) 96221-1019,https://conciergeresidencial.com.br/,5,9,60,B - abordar depois,Construtora +30; 27km +10; site +10; tel +5; reputacao +5,"R. Santo Antônio, 753 - Sl 03 - Jardim Mexico, Itatiba - SP, 13253-400",https://maps.google.com/?cid=17661292666216280700&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
254,,RHAMMA ENGENHARIA,Engenharia,Provavel,Itatiba,27,(11) 93347-2633,http://www.rhammaeng.com.br/,5,1,60,B - abordar depois,Engenharia +35; 27km +10; site +10; tel +5,"R. Campos Sales, 146 - Centro, Itatiba - SP, 13250-360",https://maps.google.com/?cid=1096490965184163946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
255,,Romanin Engenharia,Engenharia,Provavel,Itatiba,27,(11) 4524-3011,http://www.romaninengenharia.com.br/,,,60,B - abordar depois,Engenharia +35; 27km +10; site +10; tel +5,"Av. Benedito Alves Barbosa Sobrinho, 856 - 10 - jardim Brotas, Itatiba - SP, 13256-580",https://maps.google.com/?cid=11453800912468051525&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
256,,Solana Engenharia - Construções e Reformas em Itatiba,Construtora,Provavel,Itatiba,27,(11) 97474-4187,http://www.solanaengenharia.com.br/,4.9,58,60,B - abordar depois,Construtora +30; 27km +10; site +10; tel +5; reputacao +5,"Rua Ema Biral Manente, 315 - Jardim Leonor, Itatiba - SP, 13252-221",https://maps.google.com/?cid=10315311119234824623&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
257,,TLCS CONSTRUTORA LTDA,Construtora,Provavel,Itatiba,27,(11) 97292-6816,http://tlcsconstrutora.com.br/,5,11,60,B - abordar depois,Construtora +30; 27km +10; site +10; tel +5; reputacao +5,"Av. Comendador Francisco Bartholomeu, n° 184 - Sl 03 - Central Park II, Itatiba - SP, 13253-263",https://maps.google.com/?cid=3682870549686548633&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
258,,Tapeçaria Estofados Imperador,Construtora,Provavel,Itatiba,27,(11) 99964-6055,http://estofadosimperador.com.br/,4.7,47,60,B - abordar depois,Construtora +30; 27km +10; site +10; tel +5; reputacao +5,"R. Santo Antônio, 1122 - Jardim Mexico, Itatiba - SP, 13253-400",https://maps.google.com/?cid=11005171343475007899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
259,,VBA Engenharia,Engenharia,Provavel,Itatiba,27,(27) 99870-1916,https://mgiengenharia.com.br/,4.3,3,60,B - abordar depois,Engenharia +35; 27km +10; site +10; tel +5,"Rua João Pedro de Campos, 64 - Jardim Belem, Itatiba - SP, 13256-302",https://maps.google.com/?cid=4812346656079667942&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
260,,AG MANUTENÇÃO PREDIAL,Construtora,Provavel,Itupeva,22,(11) 95871-0808,https://agmanutencaopredial.com.br/,5,6,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"R. São Sebastião, 152 - Santo Antônio 1, Itupeva - SP, 13295-642",https://maps.google.com/?cid=18162037217903938223&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
261,,ASJ | Fabrica de Telas em Itupeva,Construtora,Provavel,Itupeva,22,(11) 91461-3987,http://asjtelas.com.br/,4.8,20,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"R. Jundiaí, 371 - Jardim Primavera, Itupeva - SP, 13295-160",https://maps.google.com/?cid=15602461363009496426&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
262,,Barão construção,Construtora,Provavel,Itupeva,22,(19) 99404-6372,http://www.baraoconstrucao.com.br/,4.8,12,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"R. A - Barão Da Boa Vista, Itupeva - SP, 13299-634",https://maps.google.com/?cid=10870829955118034557&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
263,,Construtora Mattone,Construtora,Provavel,Itupeva,22,(11) 99648-1234,http://www.mattone.net.br/,5,30,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"R. Emiliano Cavalcanti - Residencial Colinas De Itupeva, Itupeva - SP, 13295-000",https://maps.google.com/?cid=15353456248862632053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
264,,DC ENGENHARIA LTDA,Engenharia,Provavel,Itupeva,22,(11) 95949-0891,https://www.instagram.com/dcengenharialtda/,,,60,B - abordar depois,Engenharia +35; 22km +10; site +10; tel +5,"R. Miguel Philomeno, 362 - Portal da Santa Fe, Itupeva - SP, 13295-566",https://maps.google.com/?cid=1495319005684858958&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
265,,Daits Metais,Construtora,Provavel,Itupeva,22,(11) 4591-9242,http://www.daitsmetais.com.br/,4.7,17,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"R. Antonio Polli, 385 A - Jardim Sao Vicente, Itupeva - SP, 13295-128",https://maps.google.com/?cid=12330869188645542862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
266,,HL POSTE PADRÃO & ENGENHARIA,Engenharia,Provavel,Itupeva,22,(19) 97405-1034,https://www.facebook.com/hlpostepadraoitupeva/,5,1,60,B - abordar depois,Engenharia +35; 22km +10; site +10; tel +5,"R. Jundiaí, n°377 - Sl 2 - Jardim Primavera, Itupeva - SP, 13295-000",https://maps.google.com/?cid=2491948604680505649&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
267,,Habitare Engenharia,Engenharia,Provavel,Itupeva,22,(11) 4496-3267,http://habitareengenharia.com.br/,,,60,B - abordar depois,Engenharia +35; 22km +10; site +10; tel +5,"R. Maria Clara Almeida Santos, 92 - Parque Das Vinhas, Itupeva - SP, 13295-000",https://maps.google.com/?cid=196608392315389619&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
268,,J A Itupeva,Construtora,Provavel,Itupeva,22,(11) 92002-1762,https://sites.google.com/view/jaitupeva/p%C3%A1gina-inicial,4.8,16,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"Caça Vazamento - R. Antonio Polli, 6 - Sl 6 - Jardim Primavera, Itupeva - SP, 13295-000",https://maps.google.com/?cid=16137576597136973091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
269,,Leal Engenharia e Construtora Itupeva,Construtora,Provavel,Itupeva,22,(11) 94723-3581,https://engenharialeal.com.br/,5,91,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"Av. Guanabara, 151 - Jardim Sao Vicente, Itupeva - SP, 13295-090",https://maps.google.com/?cid=8619598700943487477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
270,,Mzinho construçâo,Construtora,Provavel,Itupeva,22,(11) 99642-0198,https://mzinhowww.com/,5,14,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"R. Nica Preta - Jardim Italia, Itupeva - SP, 13299-007",https://maps.google.com/?cid=3437084181963180155&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
271,,ProCap Engenharia Ltda.,Engenharia,Provavel,Itupeva,22,(11) 4496-5709,http://www.procap.eng.br/,,,60,B - abordar depois,Engenharia +35; 22km +10; site +10; tel +5,"Av. Guanabara, 79 - Sl 06 - Jardim Sao Vicente, Itupeva - SP, 13295-000",https://maps.google.com/?cid=14587121919966993761&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
272,,Qualifer,Construtora,Provavel,Itupeva,22,(11) 4496-4328,http://www.qualifer.com.br/,4.8,21,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"Rod. Vice Pref. Hermenegildo Tonoli, 2777 - Portal da Santa Fe, Itupeva - SP, 13295-000",https://maps.google.com/?cid=7401710330641006470&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
273,,RODRILOPES - Estruturas Metálicas,Construtora,Provavel,Itupeva,22,(11) 97462-8403,http://www.rodrilopes.com.br/,5,8,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"R. Deolinda Marchi Betelli, 74 - Loteamento Betelli, Itupeva - SP, 13295-749",https://maps.google.com/?cid=8153664516192423632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
274,,Safeimper,Construtora,Provavel,Itupeva,22,(15) 99799-5794,http://www.safeimper.com.br/,4.8,6,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"Av. Brasil - Jardim Sao Vicente, Itupeva - SP, 13295-000",https://maps.google.com/?cid=593231840384930023&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
275,,Viável Projetos,Construtora,Provavel,Itupeva,22,(11) 94197-4883,https://viavelprojetos.com.br/,5,21,60,B - abordar depois,Construtora +30; 22km +10; site +10; tel +5; reputacao +5,"R. Conceição Degelo Lourençon, 55 - Jardim Primavera, Itupeva - SP, 13295-067",https://maps.google.com/?cid=15576156391896153441&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
276,,Alvaz - Sistema Integrado de Engenharia,Engenharia,Provavel,Jundiai,18,(11) 91709-6242,https://alvaz.eng.br/,,,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"Rua Rangel Pestana, 533 - Sl 124 - Centro, Jundiaí - SP, 13201-903",https://maps.google.com/?cid=7871366676801545089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
277,,Amancio Engenharia,Engenharia,Provavel,Jundiai,18,(11) 96182-0267,https://sites.google.com/view/amancio-projetos-estruturais,,,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"R. Osvaldo Canalli, 228 - Região Metropolitana de Jundiaí, Jundiaí - SP, 13210-001",https://maps.google.com/?cid=7196337448696066686&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
278,,Applausi,Construtora,Provavel,Jundiai,18,(11) 4521-0994,https://applausiconstrutora.com.br/,4.5,39,60,B - abordar depois,Construtora +30; 18km +10; site +10; tel +5; reputacao +5,"Av. das Indústrias, 2101 - Distrito Industrial, Jundiaí - SP, 13213-100",https://maps.google.com/?cid=10258329100941915448&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
279,,Aquarius Metais - Manutenção de Telhados Industriais,Construtora,Provavel,Jundiai,18,(11) 3963-0387,http://www.aquariusmetais.com.br/,4.7,28,60,B - abordar depois,Construtora +30; 18km +10; site +10; tel +5; reputacao +5,"Av. Osmundo dos Santos Pellegrini, 595 - Jardim Trevo, Jundiaí - SP, 13211-377",https://maps.google.com/?cid=4404679567269259001&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
280,,BRAP Engenharia,Engenharia,Provavel,Jundiai,18,(11) 3395-9506,http://www.brapengenharia.com.br/,5,1,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"R. Anchieta, 204 - Sl 409 - Vila Boaventura, Jundiaí - SP, 13201-804",https://maps.google.com/?cid=11678668730366371402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
281,,BSS Engenharia,Engenharia,Provavel,Jundiai,18,(11) 99339-6254,https://www.bssengenharia.com.br/,,,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"R. Eduardo Tomanik, 900 - 6º andar 61 - Chácara Urbana, Jundiaí - SP, 13209-090",https://maps.google.com/?cid=7265116597446447259&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
282,,Bremser Engenharia,Engenharia,Provavel,Jundiai,18,(11) 94100-4815,https://bremser.com.br/,5,1,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"Av. 9 de Julho, 3575 - Sl 1310 - Anhangabaú, Jundiaí - SP, 13208-056",https://maps.google.com/?cid=4581037976076305667&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
283,,"CAQP Engenharia, Administração Ltda",Engenharia,Provavel,Jundiai,18,(11) 95756-8215,https://caqp.com.br/,,,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"R. João Batista Robbi, 799 - Jardim Merci I, Jundiaí - SP, 13202-210",https://maps.google.com/?cid=5459754678911384471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
284,,CASF Engenharia,Engenharia,Provavel,Jundiai,18,(11) 2816-7524,http://casfengenharia.com.br/contato/fale-conosco.html,4.5,2,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"R. Mirandolina Pereira Chaves, 321 - Parque Sao Luiz, Jundiaí - SP, 13216-734",https://maps.google.com/?cid=17339115119053920770&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
285,,Central de Vendas Auten Jundiaí,Construtora,Provavel,Jundiai,18,(11) 91397-6808,https://auten.com.br/jundiai/,4.8,21,60,B - abordar depois,Construtora +30; 18km +10; site +10; tel +5; reputacao +5,"Av. Dr. Adilson Rodrigues, 2542 - Jardim Samambaia, Jundiaí - SP, 13211-685",https://maps.google.com/?cid=13522390771808655901&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
286,,Cer Assessoria E Engenharia,Engenharia,Provavel,Jundiai,18,(11) 99966-9595,http://cereng.com.br/,5,1,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"Av. Juvenal Arantes, 1435 - Medeiros, Jundiaí - SP, 13212-354",https://maps.google.com/?cid=6702621151266074531&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
287,,Civiltech Engenharia e Projetos Ltda,Engenharia,Provavel,Jundiai,18,(11) 4587-8833,http://civiltech.eng.br/,5,2,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"R. Frei Caneca, 400 - Vila Arens II, Jundiaí - SP, 13202-580",https://maps.google.com/?cid=16920357890893053097&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
288,,Construtora Terra Nacional,Construtora,Provavel,Jundiai,18,(11) 4583-3220,http://www.terranacional.com.br/,5,12,60,B - abordar depois,Construtora +30; 18km +10; site +10; tel +5; reputacao +5,"R. Prudente de Moraes, 1521 - Centro, Jundiaí - SP, 13201-004",https://maps.google.com/?cid=13277706805632777566&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
289,,Controle tecnológico - CS Consultoria,Construtora,Provavel,Jundiai,18,(11) 98148-5653,http://www.cscontroletecnologico.com.br/,5,9,60,B - abordar depois,Construtora +30; 18km +10; site +10; tel +5; reputacao +5,"Av. Antônio Frederico Ozanan, 4230 - Jardim Shangai, Jundiaí - SP, 13215-485",https://maps.google.com/?cid=4086848142772732080&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
290,,Correia Soluções,Construtora,Provavel,Jundiai,18,(11) 97508-0157,http://correiasolucoes.com.br/,4.9,10,60,B - abordar depois,Construtora +30; 18km +10; site +10; tel +5; reputacao +5,"R. Cap. Cassiano Ricardo de Toledo - Região Metropolitana de Jundiaí, Jundiaí - SP, 13210-840",https://maps.google.com/?cid=15364744030335465556&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
291,,DM Sabetta Engenharia,Engenharia,Provavel,Jundiai,18,(11) 95306-0839,https://dmsabetta.com.br/,5,3,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"Rua Cica, 396 - Vila Garcia, Jundiaí - SP, 13206-765",https://maps.google.com/?cid=10286617920453243878&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
292,,DMB Consultoria em Engenharia,Engenharia,Provavel,Jundiai,18,(11) 99278-5788,http://dmbengenharia.com.br/,,,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"R. Benedita Alves Cardoso Conceição, 138 - Lote d28 - Condomínio Reserva da Serra, Jundiaí - SP, 13212-164",https://maps.google.com/?cid=5137480299350042899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
293,,DOUTOR METAL,Construtora,Provavel,Jundiai,18,(11) 96367-1940,https://www.doutormetal.com.br/,5,5,60,B - abordar depois,Construtora +30; 18km +10; site +10; tel +5; reputacao +5,"MAG - Rod. Eng. Constâncio Cintra - MATO DENTRO, Jundiaí - SP, 13216-605",https://maps.google.com/?cid=5682314116191526081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
294,,Dantech Engenharia,Engenharia,Provavel,Jundiai,18,(11) 2709-0588,http://dantech.eng.br/,4.3,26,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"Av. Humberto Cereser, 2225 - Jardim Caxambu, Jundiaí - SP, 13218-711",https://maps.google.com/?cid=7038088332963138978&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
295,,Destro Casa & Construção - Jundiaí,Construtora,Provavel,Jundiai,18,(11) 4497-1100,http://www.destro.com.br/,4.6,319,60,B - abordar depois,Construtora +30; 18km +10; site +10; tel +5; reputacao +5,"Av. Pref. Luis Latorre, 4.497 - Retiro, Jundiaí - SP, 13209-430",https://maps.google.com/?cid=18000173758960857359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
296,,Diretiva Engenharia Construções,Construtora,Provavel,Jundiai,18,(11) 4583-3666,http://www.diretivaengenharia.com.br/,4.7,50,60,B - abordar depois,Construtora +30; 18km +10; site +10; tel +5; reputacao +5,"R. Aderbal da Costa Moreira, 163 - Retiro, Jundiaí - SP, 13209-550",https://maps.google.com/?cid=6022562081356346735&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
297,,Domus Engenharia,Engenharia,Provavel,Jundiai,18,(11) 4497-0750,http://www.domusengenharia.com.br/,4,4,60,B - abordar depois,Engenharia +35; 18km +10; site +10; tel +5,"R. Anchieta, 204 - Sl 408 - Vila Boaventura, Jundiaí - SP, 13201-804",https://maps.google.com/?cid=15985143537328271592&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
