#,Empresa,Segmento,Cidade,UF,Regiao,Telefone,Site,Email,Nota,Avals,Endereco,Google_Maps,Dist_Louveira_km,Enriquecido,Nome_Decisor,Status_Prospeccao,Observacoes
544,Opus empreiteira Ltda,Empreiteira,Barueri,SP,Foco,(11) 91361-2875,https://opusltda.com.br/,,5,17,"Al. Rio Negro, 503 - Alphaville, Barueri - SP, 06454-000",https://maps.google.com/?cid=16749727655569172325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
545,Pwa Obras Empreiteira Barueri,Empreiteira,Barueri,SP,Foco,(11) 93293-1234,,,5,2,"Rua Goiás 265 Aldeia de - Nova Aldeia, Barueri - SP, 06440-170",https://maps.google.com/?cid=13276904665156263953&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
546,"Brilho Celeste Construções, Construção e Reformas em Geral, Obras na fundação, Construtora Barueri.",Terraplenagem/Infra,Barueri,SP,Foco,(11) 4168-3892,,,5,2,"R. Missouri, 11 - Vila Engenho Novo, Barueri - SP, 06416-033",https://maps.google.com/?cid=13397323919893705194&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
547,Demolidora Em Alphaville,Terraplenagem/Infra,Barueri,SP,Foco,,,,,,"Alameda Brasil, 33 - Alphaville Res. Um, Barueri - SP, 06474-070",https://maps.google.com/?cid=15241632291790487432&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Nao,,Nao iniciado,
548,Demolidora JG,Terraplenagem/Infra,Barueri,SP,Foco,,,,,,"Estr. Velha de Itapevi, 3976 - Jardim Paulista, Barueri - SP, 06444-000",https://maps.google.com/?cid=2127823150149053665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Nao,,Nao iniciado,
549,Demolidora Máximo,Terraplenagem/Infra,Barueri,SP,Foco,,,,,,"Av. Sagitário, 138 - 416 - Alphaville Conde II, Barueri - SP, 06473-073",https://maps.google.com/?cid=8319611455245180239&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Nao,,Nao iniciado,
550,DEMOLIDORA MS,Terraplenagem/Infra,Barueri,SP,Foco,,,,,,"Estr. dos Romeiros, 1610 - Cruz Preta, Barueri - SP, 06412-000",https://maps.google.com/?cid=2825580789159469609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Nao,,Nao iniciado,
551,DemolidoraSmart-Terraplanagem,Terraplenagem/Infra,Barueri,SP,Foco,,,,,,"Av. Copacabana, 228 - 18 - Alphaville, Barueri - SP, 06472-001",https://maps.google.com/?cid=9239400364140979801&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Nao,,Nao iniciado,
552,DSC Demolidora Souza Costa,Terraplenagem/Infra,Barueri,SP,Foco,,,,,,"R. Suely, 189 - Parque dos Camargos, Barueri - SP, 64363-370",https://maps.google.com/?cid=14783863311745001247&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Nao,,Nao iniciado,
553,Fremix Pavimentação e Construções,Terraplenagem/Infra,Barueri,SP,Foco,(11) 4196-5533,,,4.3,106,"R. Victorino - Jardim Mutinga, Barueri - SP, 06463-290",https://maps.google.com/?cid=930869533547106376&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
554,Realeza Demolidora,Terraplenagem/Infra,Barueri,SP,Foco,,,,,,"R. Adelino Cardana, 293 - Bethaville, Barueri - SP, 06401-147",https://maps.google.com/?cid=13793960415068878285&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Nao,,Nao iniciado,
555,Sondagem de Solo - Barueri e região,Terraplenagem/Infra,Barueri,SP,Foco,(11) 93360-3265,https://iassondagem.com.br/,,5,15,"R. Antonio Pazinato, 36 - Jardim Timbauhy, Barueri - SP, 06440-020",https://maps.google.com/?cid=11474097236235957651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
556,"Transmota Terraplanagem, Transporte e Construção Civil",Terraplenagem/Infra,Barueri,SP,Foco,,,,,,"Calçada dos Girassóis, 28 - Alphaville Comercial, Barueri - SP, 06453-016",https://maps.google.com/?cid=18099800591443802896&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Nao,,Nao iniciado,
557,Unipav Pavimentação e Terraplanagem,Terraplenagem/Infra,Barueri,SP,Foco,,,,,,"R. Antonio Pazinato, 186 - Jardim Timbauhy, Barueri - SP, 06440-020",https://maps.google.com/?cid=11919539780575841748&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Nao,,Nao iniciado,
558,Alf construções e reformas,Construtora,Cajamar,SP,Foco,(11) 95066-6076,,,5,1,"R. dos Jambeiros - Centro, Cajamar - SP, 07750-640",https://maps.google.com/?cid=16931638695185083034&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
559,ansreformas,Construtora,Cajamar,SP,Foco,(11) 96787-6752,https://ansreformas.com.br/,,5,31,"R. Luiz Magri, 484 - Polvilho, Cajamar - SP, 07792-225",https://maps.google.com/?cid=17869888720106469830&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
560,Atlantic Construtora,Construtora,Cajamar,SP,Foco,(11) 97532-5675,http://construtoraatlantic.com.br/,,,,"R. das Amazonas, 210 - Portal dos Ipês II, Cajamar - SP, 07750-000",https://maps.google.com/?cid=18359479450041327467&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
561,Azevedo Decorações e Reformas,Construtora,Cajamar,SP,Foco,(11) 96114-5173,,,,,"R. Diadema, 155 - Polvilho, Cajamar - SP, 07790-260",https://maps.google.com/?cid=9325174111569565311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
562,"CARDIVEM Soluções sustentáveis (Venezianas industrial, Calhas e Rufos)",Construtora,Cajamar,SP,Foco,(11) 91007-5279,http://www.cardivem.com.br/,,4.6,9,"R. Josué Lemes de Lima, n667 - Panorama, Cajamar - SP, 07792-340",https://maps.google.com/?cid=7511847868901217240&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
563,CCelo Construções,Construtora,Cajamar,SP,Foco,(11) 99256-4638,,,,,"Rua José Misael Herminio da Silva, 225 - Jardim Santana, Cajamar - SP, 07750-000",https://maps.google.com/?cid=14998665974544822349&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
564,Ccr Autoban,Construtora,Cajamar,SP,Foco,(11) 4589-4151,,,3.6,90,"Av. Alfonso Leopoldo Vogel, 1401 - Vila Uniao, Cajamar - SP, 07750-000",https://maps.google.com/?cid=13556916449826163846&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
565,Chapa Forte Madeiras - Cajamar,Construtora,Cajamar,SP,Foco,(11) 91346-1558,,,4.8,23,"R. das Amazonas, 323 - portal dos ipes, Cajamar - SP, 07790-850",https://maps.google.com/?cid=12650215666764554546&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
566,Classe A - Vendas & Instalação,Construtora,Cajamar,SP,Foco,,,,5,1,"R. Pontal - Jordanesia, Cajamar - SP, 07781-760",https://maps.google.com/?cid=6922729673310159965&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
567,COMPASSO ESTRUTURAL CONSTRUTORA E EMPREITEIRA LTDA,Construtora,Cajamar,SP,Foco,(11) 3976-7197,,,5,2,"Avenida Doutor José Luíz Leme Maciel, 236 C1 262 - SÂO ROBERTO (JORDANÉSIA), Cajamar - SP, 07787-000",https://maps.google.com/?cid=759119901862778048&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
568,CONCRELONGO SERVIÇOS DE CONCRETAGEM,Construtora,Cajamar,SP,Foco,(11) 98631-5326,http://www.concrelongo.com.br/,,5,1,"Av. Buri, 05 - Parque Res. Jordanésia, Cajamar - SP, 07787-300",https://maps.google.com/?cid=12744994543691926198&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
569,Construção e Reforma - Construction,Construtora,Cajamar,SP,Foco,(11) 4448-4495,,,,,"R. das Amazonas, 42 - Polvilho, Cajamar - SP, 07790-850",https://maps.google.com/?cid=9226093830352900408&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
570,Construtor Quintino,Construtora,Cajamar,SP,Foco,(11) 99744-1200,,,5,1,"R. Osvaldo Vallejo, N°209 - Polvilho, Cajamar - SP, 07793-180",https://maps.google.com/?cid=3942274728649593900&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
571,CONSTRUTORA ESTILOS,Construtora,Cajamar,SP,Foco,(11) 2777-7240,http://www.construtoraestilos.com.br/,,5,4,"Av Tenente Marques 1250 Vila Planalto, Cajamar - SP, 07750-260 - Vila Granipavi, Cajamar - SP, 07790-260",https://maps.google.com/?cid=15423046223533621326&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
572,Construtora Joia Brasil,Construtora,Cajamar,SP,Foco,(11) 99517-1122,https://joiabrasil.com.br/,,5,8,"Av. Deovair Cruz de Oliveira, 445 - Salão 01 - Jordanesia, Cajamar - SP, 07776-435",https://maps.google.com/?cid=9350668712122714962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
573,Constullar Reformas,Construtora,Cajamar,SP,Foco,(11) 97661-2045,,,5,17,"R. Bastos, 1109 - Guaturinho, Cajamar - SP, 07756-635",https://maps.google.com/?cid=14845207482725961535&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
574,Damata matérias para construção,Construtora,Cajamar,SP,Foco,(11) 97420-0586,,,5,1,"R. Embú - Ponunduva, Cajamar - SP, 07768-050",https://maps.google.com/?cid=9167560905912986224&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
575,Domínio Company em Soluções e Serviços LTDA.,Construtora,Cajamar,SP,Foco,(11) 98074-9838,http://www.dominiosolucoes.net/,,,,"R. Barueri, 336 - Guaturinho, Cajamar - SP, 07756-625",https://maps.google.com/?cid=12915637134473641677&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
576,Empreendimentos Jaraguá,Construtora,Cajamar,SP,Foco,(11) 4447-1194,,,5,1,"R. Leme, 389 - Jardim Penteado, Cajamar - SP, 07750-000",https://maps.google.com/?cid=3694849631618048200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
577,Engemont,Construtora,Cajamar,SP,Foco,(11) 4448-7900,http://www.engemontdutos.com.br/,,4.7,100,"Av. Ten. Marques, 1170 - Polvilho, Cajamar - SP, 07790-260",https://maps.google.com/?cid=5162630656256186829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
578,Engenharia e Construções. M.J,Construtora,Cajamar,SP,Foco,(11) 97183-7412,,,5,2,"R. Aparecida Delfino de Morais - Jardim Santana, Cajamar - SP, 07793-880",https://maps.google.com/?cid=10058321065017249668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
579,Engenheiro Civil Pedro Ribeiro,Construtora,Cajamar,SP,Foco,(11) 99788-2139,,,,,"R. Antonio Carlos Paiva Camelo, 533 - Jardim Santana, Cajamar - SP, 07750-000",https://maps.google.com/?cid=8074869243209117826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
580,FR MEDEIROS COMERCIO INDUSTRIA E SERVICOS,Construtora,Cajamar,SP,Foco,(11) 95439-6988,,,4,2,"R. das Imbaúbas, 202 - portal dos ipês 3, Cajamar - SP, 07791-260",https://maps.google.com/?cid=11977342562528324128&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
581,G.O MANUTENÇÃO,Construtora,Cajamar,SP,Foco,(11) 91251-6425,,,,,"Av. José Marques Ferreira, 205 - 07787100, Cajamar - SP, 07787-100",https://maps.google.com/?cid=6861435644804846493&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
582,Gato Imóveis - Portal dos Ipês,Construtora,Cajamar,SP,Foco,(11) 94140-3002,http://gatoimoveis.com.br/,,4.7,178,"Av. das Palmeiras, 139 - Portal dos Ipês, Cajamar - SP, 07790-890",https://maps.google.com/?cid=4145759200194228587&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
583,Grupo Mello,Construtora,Cajamar,SP,Foco,(11) 3164-4455,http://www.grupomellosp.com.br/,,4.3,6,"Av. Deovair Cruz de Oliveira, 322 - Jardim Nova Jordanésia, Cajamar - SP, 07776-436",https://maps.google.com/?cid=2908381147306524931&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
584,Grupo Shaft,Construtora,Cajamar,SP,Foco,(11) 99823-5259,,,,,"R. Baldinos, 250 - Guaturinho, Cajamar - SP, 07756-580",https://maps.google.com/?cid=16978895861218711940&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
585,Grupo SteelCorp,Construtora,Cajamar,SP,Foco,(11) 96322-9898,https://steelcorp.tech/,,4.3,22,"Rua Doutor José Leal Mascarenhas, 100 - Av. Ten. Marques, 5 - Jardim Santana, Cajamar - SP, 07750-000",https://maps.google.com/?cid=12393304190419028322&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
586,H M 17 Empreendimento Imobiliário Spe,Construtora,Cajamar,SP,Foco,(11) 4448-5711,,,,,"R. das Amarílis - Guaturinho, Cajamar - SP, 07750-000",https://maps.google.com/?cid=10522870093406781825&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
587,J.M Reforma e Construção civil,Construtora,Cajamar,SP,Foco,(11) 95596-9899,,,,,"R. Tatuí, 966 - Paraíso, Cajamar - SP, 07794-215",https://maps.google.com/?cid=1738463131174461194&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
588,jcds construtora,Construtora,Cajamar,SP,Foco,(11) 99859-9567,http://jcdsconstrutora.wixsite.com/JCDS,,4.3,4,"Av. Pref. Juvenal Ferreira dos Santos - Vila Nova, Cajamar - SP, 07750-000",https://maps.google.com/?cid=15667493638539505345&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
589,JE PISOS INDUSTRIAIS LTDA,Construtora,Cajamar,SP,Foco,(11) 93451-5436,,,5,3,"Av. das Palmeiras, 329 - Sl 6 - Portais (Polvilho), Cajamar - SP, 07790-890",https://maps.google.com/?cid=4485159472491835985&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
590,JL Engenharia e Construcoes,Construtora,Cajamar,SP,Foco,(11) 4448-5331,https://jlengenhariaeconstrucoes.com.br/wp/,,4.3,14,"R. das Amazonas, 328 - Ipês (Polvilho), Cajamar - SP, 07790-850",https://maps.google.com/?cid=912450733663815798&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
591,Jordanesia,Construtora,Cajamar,SP,Foco,,,,4.7,3,"R. Itu, 167 - Jardim Penteado, Cajamar - SP, 07750-000",https://maps.google.com/?cid=11085785813028279825&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
592,Jordanesia da Silva Alves Lves,Construtora,Cajamar,SP,Foco,,,,4.3,24,"R. Antônio Benedito Lopes, 207 - Altos de Jordanésia, Cajamar - SP, 07750-000",https://maps.google.com/?cid=6480074800141764078&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
593,LE Construções,Construtora,Cajamar,SP,Foco,(11) 94021-4347,https://chatdireto.com/11940214347,,,,"R. das Flores-de-Maio, 688 - Portais (Polvilho), Cajamar - SP, 07790-860",https://maps.google.com/?cid=14628831825447530532&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
594,LL Construção,Construtora,Cajamar,SP,Foco,(11) 99117-4218,https://llconstrucao.com.br/,,,,"R. dos Gerânios - Polvilho, Cajamar - SP, 07790-870",https://maps.google.com/?cid=12733643230069797446&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
595,LMD Construções e Incorporações,Construtora,Cajamar,SP,Foco,(11) 4408-7320,http://www.lmdconstrucoes.com.br/,,3.8,43,"Av. Pref. Juvenal Ferreira dos Santos, 241 - Vila Nova, Cajamar - SP, 07750-000",https://maps.google.com/?cid=15012028462563496440&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
596,"LSE Controle Tecnológico - solos, asfalto e concreto",Construtora,Cajamar,SP,Foco,(11) 91872-7377,https://www.lsecontroletecnologico.com.br/,,5,5,"R. dos Flox - Portal dos ipês, Cajamar - SP, 07791-060",https://maps.google.com/?cid=5505491532547517898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
597,Luguinho Construções,Construtora,Cajamar,SP,Foco,(11) 99520-6895,,,5,1,"R. das Imbaúbas, 341 - Portais (Polvilho), Cajamar - SP, 07790-260",https://maps.google.com/?cid=2308684851547806601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
598,Marcenaria Brito,Construtora,Cajamar,SP,Foco,(11) 97166-3032,,,5,5,"R. Durval Ferreira de Araújo, 271 - Jordanesia, Cajamar - SP, 07750-000",https://maps.google.com/?cid=8341541584434960402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
599,Marcenaria Modellar,Construtora,Cajamar,SP,Foco,(11) 95322-8361,,,5,4,"R. Eldorado, 58 - Santa Terezinha (Jordanésia), Cajamar - SP, 07786-435",https://maps.google.com/?cid=16270892741107453684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
600,MARSONDAS,Construtora,Cajamar,SP,Foco,(11) 97448-9272,http://marsondas.com.br/,,5,10,"R. dos Colibris, 99 - EMPRESARIAL DOS EUCALIPTUS, Cajamar - SP, 07764-375",https://maps.google.com/?cid=7542266542566490847&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
601,MB Soluções,Construtora,Cajamar,SP,Foco,(11) 3135-0885,https://www.mbmultsoluções.com.br/,,5,31,"Av. Ten. Marques, 3345 - And 2, Sala 3 - Polvilho, Cajamar - SP, 07791-700",https://maps.google.com/?cid=6150082706320438403&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
602,Mestre Ateliê,Construtora,Cajamar,SP,Foco,(11) 99453-4578,https://www.mestreatelie.com.br/,,5,26,"R. Diadema, 49A - Polvilho, Cajamar - SP, 07793-590",https://maps.google.com/?cid=10524368270686957508&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
603,Meta Construtora LSF,Construtora,Cajamar,SP,Foco,(11) 98178-6411,http://metaconstrutorasteel.com.br/blog,,,,"Av. Ten. Marques, 5380 - Jardim Adelaide, Cajamar - SP, 07790-845",https://maps.google.com/?cid=15158227420557238405&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
604,Meu Sótão,Construtora,Cajamar,SP,Foco,(11) 3922-9698,http://www.meusotao.com.br/,,5,28,"Rua Milck Félix, 65 - Panorama, Cajamar - SP, 07792-430",https://maps.google.com/?cid=17728289809801667040&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
605,Morar Imóveis e Construções,Construtora,Cajamar,SP,Foco,(11) 4448-2410,http://www.morarimoveiscajamar.com.br/,,4.2,32,"Av. das Palmeiras, nº521 - nº521 - Portal dos Ipês, Cajamar - SP, 07790-890",https://maps.google.com/?cid=16848737382115517356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
606,MSN Construções Ltda.,Construtora,Cajamar,SP,Foco,(11) 4156-6192,,,2.7,3,"R. das Margaridas, 235 - Jardim Adelaide, Cajamar - SP, 07770-000",https://maps.google.com/?cid=3494675040258094421&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
607,"MultMRM Estruturas Metálicas, Reforma Predial e Industrial",Construtora,Cajamar,SP,Foco,(11) 97394-2263,https://multmrm.com.br/,,,,"R. Caiva, 213 - Jardim Nova Cajamar, Cajamar - SP, 07793-830",https://maps.google.com/?cid=2380689395593321012&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
608,Nova Bandeirantes Construtora,Construtora,Cajamar,SP,Foco,(11) 4898-6627,,,,,"Jardim Nova Jordanésia, Cajamar - SP, 07776-480, Brasil",https://maps.google.com/?cid=14302250989282799247&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
609,Oliveira Reformas,Construtora,Cajamar,SP,Foco,(11) 97991-5266,https://oliveira-reformas.ueniweb.com/?utm_campaign=gmb,,5,1,"R. Teodoro Sampaio, 296 - Polvilho, Cajamar - SP, 07750-000",https://maps.google.com/?cid=13014522639724647459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
610,Pallets Ypê,Construtora,Cajamar,SP,Foco,(11) 99868-5151,,,4.6,16,"Estr. Paulo Rocha de Carvalho - Fazenda Velha, Cajamar - SP, 07750-000",https://maps.google.com/?cid=1693078770318932848&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
611,PS Metálica,Construtora,Cajamar,SP,Foco,(11) 99466-6739,,,,,"R. Delfim, 73 - Portal dos Ipês 3, Cajamar - SP, 07791-110",https://maps.google.com/?cid=2262497210387287892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
612,R.E Equipamentos e Transportes,Construtora,Cajamar,SP,Foco,(11) 98226-5539,https://www.reequipamentos.com.br/,,5,1,"R. Barra Bonita, 80 - Guaturinho, Cajamar - SP, 07756-605",https://maps.google.com/?cid=15477794509538365692&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
613,Rei das Pias,Construtora,Cajamar,SP,Foco,(11) 4272-0417,https://www.reidaspias.com.br/,,4.7,47,"Av. Ten. Marques, 3431 - Polvilho, Cajamar - SP, 07791-700",https://maps.google.com/?cid=7647769145980174997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
