#,Empresa,Segmento,Cidade,Telefone,Site,Nota,Avals,Endereco,Google_Maps,Status
386,Lumy Incorporadora,Incorp,Barueri,(11) 3836-1116,lumy.com.br,3.6,48,"Alameda Tocantins, 75 - 12º andar - Alphaville, Barueri - SP, 06455-020",https://maps.google.com/?cid=15200175931181089167&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
387,Módena Incorporadora,Incorp,Barueri,(11) 2321-0365,,3.7,24,"Av. Ipanema, 165 - 1610 - Alphaville, Barueri - SP, 06472-002",https://maps.google.com/?cid=7167524361160557963&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
388,NDA Incorporadora,Incorp,Barueri,(11) 2829-0875,,5,3,"Av. Batatais, 135 - Votupoca, Barueri - SP, 06447-090",https://maps.google.com/?cid=13652170173313975089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
389,Nápoli Incorporadora,Incorp,Barueri,(11) 4191-2141,,4,1,"Calçada das Papoulas, 66 - Alphaville Comercial, Barueri - SP, 06453-040",https://maps.google.com/?cid=7637734748524212973&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
390,OP5 Incorporadora,Incorp,Barueri,(11) 98721-4454,op5.com.br,,,"Alameda Madeira, 328 - 15º andar - Sala 1516 - Alphaville Empresarial, Barueri - SP, 06454-010",https://maps.google.com/?cid=13610570366355385617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
391,OPT Incorporadora,Incorp,Barueri,(11) 4191-8980,,3,2,"Alameda Tocantins, 125 - Alphaville Industrial, Barueri - SP, 06455-020",https://maps.google.com/?cid=14686909996083066278&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
392,Proxx Incorporadora de Valores,Incorp,Barueri,(11) 3654-5666,proxx.com.br,2.9,17,"Av. Trindade, 254 - Sala 1114 - Bethaville I, Barueri - SP, 06404-326",https://maps.google.com/?cid=5766056130267204069&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
393,R2V Incorporadora,Incorp,Barueri,,grupor2v.com,3.4,78,"Av. Andrômeda, 885 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=11120430137809118664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
394,RVS Construtora e Incorporadora,Incorp,Barueri,(11) 4247-7690,rvsconstrutora.com.br,5,2,"Al. Rio Negro, 503 - Alphaville Industrial, Barueri - SP, 06454-000",https://maps.google.com/?cid=16778184178268969352&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
395,Rainha Splendore Empreendimentos Imobiliários Spe,Incorp,Barueri,(11) 4193-8328,,4.8,5,"Praça Oiapoque, 360 - A277 - Alphaville Industrial, Barueri - SP, 06454-060",https://maps.google.com/?cid=13406915529893841324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
396,START Incorporadora,Incorp,Barueri,(11) 4307-1708,start.com.vc,3.9,33,"Alameda Mamoré, 535 - Alphaville Industrial, Barueri - SP, 06454-040",https://maps.google.com/?cid=14070215654231969855&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
397,Scopus Construtora e Incorporadora,Incorp,Barueri,(11) 4195-1960,scopusconstrutora.com.br,4.9,9,"Alameda Araguaia, 2044 - Alphaville, Barueri - SP, 06455-000",https://maps.google.com/?cid=3658992227144225794&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
398,Tehto Incorporadora,Incorp,Barueri,(11) 4193-6565,tehtoincorporadora.com.br,,,"Condomínio Alpha Premium - Al. Rio Negro, 967 - cj. 705 - Alphaville, Barueri - SP, 06454-000",https://maps.google.com/?cid=2309524467295267468&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
399,VitalCorp Empreendimentos Imobiliários,Incorp,Barueri,(11) 4193-5860,vitalcorpempreendimentos.com.br,5,1,"Av. Sagitário - 138 – Sala 2213 – Torre London Sitio Tamboré - Alphaville, Barueri - SP, 06473-073",https://maps.google.com/?cid=32204649893190986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
400,WH Incorporadora,Incorp,Barueri,(11) 97651-9452,whinc.com.br,4.6,43,"Av. Copacabana, 325 - Empresarial 18 do Forte, Barueri - SP, 06472-001",https://maps.google.com/?cid=12766975997946175093&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
401,Z3 Construtora e Incorporadora,Incorp,Barueri,(11) 2424-3030,,4.8,4,"Av. Andrômeda, 885 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=17741318373211621001&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
402,"Brilho Celeste Construções, Construção e Reformas em Geral, Obras na fundação, Construtora Barueri.",Terrapl,Barueri,(11) 4168-3892,,5,2,"R. Missouri, 11 - Vila Engenho Novo, Barueri - SP, 06416-033",https://maps.google.com/?cid=13397323919893705194&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
403,Fremix Pavimentação e Construções,Terrapl,Barueri,(11) 4196-5533,,4.3,106,"R. Victorino - Jardim Mutinga, Barueri - SP, 06463-290",https://maps.google.com/?cid=930869533547106376&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
404,Sondagem de Solo - Barueri e região,Terrapl,Barueri,(11) 93360-3265,iassondagem.com.br,5,15,"R. Antonio Pazinato, 36 - Jardim Timbauhy, Barueri - SP, 06440-020",https://maps.google.com/?cid=11474097236235957651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
405,ArqT. Arquitetura e Urbanismo,Arq,Cajamar,(11) 98838-7421,empresas.habitissimo.com.br,5,1,"Torre 1 - R. dos Alecrins, 100 - Apt 76 - Portal dos Ipês, Cajamar - SP, 07791-000",https://maps.google.com/?cid=4525880951203929529&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
406,Borttoffe Arquitetura e Interiores,Arq,Cajamar,(11) 91183-4174,instagram.com,4.9,38,"R. dos Flox, 982 - Guaturinho, Cajamar - SP, 07790-865",https://maps.google.com/?cid=5914335777388299405&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
407,EA7 Arquitetura - Elaine Nascimento Arquiteta,Arq,Cajamar,(11) 98583-0337,elainemororo.wixsite.com,,,"R. Jean Anastace Kovelis, 123 - Ipês (Polvilho), Cajamar - SP, 07791-842",https://maps.google.com/?cid=11472454716800057086&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
408,Fortel Engenharia & Arquitetura,Arq,Cajamar,,fortelengenharia.com.br,5,3,"R. Eucaliptos, 167 - Portal dos Ipê III, Cajamar - SP, 07791-025",https://maps.google.com/?cid=12078650203488190386&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
409,GDI Arquitetura & Engenharia,Arq,Cajamar,(11) 99208-1350,,4,1,"Cisalpina - Jordanesia, Cajamar - SP, 07787-005",https://maps.google.com/?cid=14142368009084625268&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
410,Gisele Albuquerque Arquitetura,Arq,Cajamar,(11) 91421-1012,instagram.com,,,"Av. das Pitangueiras, 267 - Portais (Polvilho), Cajamar - SP, 07790-765",https://maps.google.com/?cid=15800438300476323532&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
411,"Giusti Engenharia, Arquitetura e Construções",Arq,Cajamar,(11) 4447-4099,giustiengenharia.com.br,,,"Av. Deovair Cruz de Oliveira, 137 - Rm 07 - Jordanesia, Cajamar - SP, 07750-000",https://maps.google.com/?cid=9084066355167532418&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
412,Isabela Ricci Arquitetura e Interiores,Arq,Cajamar,,,5,4,"Av. Ten. Marques, 2051 - Sala 01 - 1 Andar - Polvilho, Cajamar - SP, 07792-820",https://maps.google.com/?cid=3644363490193264635&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
413,JAQUE ARQUITETURA,Arq,Cajamar,(11) 97581-9613,,,,"Rua dos Marmelos, 86 - Guaturinho, Cajamar - SP, 07750-000",https://maps.google.com/?cid=16006350305163898488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
414,JR Arquitetura & Engenharia,Arq,Cajamar,(11) 97500-3127,,,,"R. Flademir Roberto Lopes, 272 - Sl 02 - Bela Vista, Cajamar - SP, 07790-615",https://maps.google.com/?cid=16263153184524493129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
415,Keztor arquitetura e engenharia,Arq,Cajamar,(11) 97602-8931,keztor.com.br,5,1,"R. dos Alecrins, 400 - Ipês (Polvilho), Cajamar - SP, 07791-000",https://maps.google.com/?cid=16749826952779055670&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
416,LUROME ARQUITETURA E ENGENHARIA CONSTRUÇOES E EMPREENDIMENTOS LTDA,Arq,Cajamar,(11) 94455-1666,lurome.com.br,5,9,"R. Curupira, 29 - Aldeia do sol, Cajamar - SP, 07792-050",https://maps.google.com/?cid=8250813110223191197&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
417,Lima & Oliveira - arquitetos associados,Arq,Cajamar,(11) 99858-3616,arqlimaeoliveira.com,5,2,"Av. das Palmeiras, nº679 - Sl 02 - Portais (Polvilho), Cajamar - SP, 07790-890",https://maps.google.com/?cid=3514867143775693244&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
418,Midyan Cassimiro Arquitetura,Arq,Cajamar,(11) 4447-6168,,,,"Av. das Pitangueiras, 92 - Guaturinho, Cajamar - SP, 07790-765",https://maps.google.com/?cid=10110273327355617153&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
419,Moldare Arquitetura e Interiores,Arq,Cajamar,(11) 99546-4445,instagram.com,5,18,"Av. Ten. Marques, 3345 - Sl 01 - PORTAL DOS IPES II, Cajamar - SP, 07791-700",https://maps.google.com/?cid=9197065014040656520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
420,Projeto de arquitetura - Obrak,Arq,Cajamar,(11) 97204-9370,mouradasilvafernan.wixsite.com,5,2,"R. Tupi, 624 - Jardim Jurupari (Fazendinha), Cajamar - SP, 06534-130",https://maps.google.com/?cid=13342906307670032578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
421,RA ARQUITETURA,Arq,Cajamar,(11) 97444-3115,ricardoalvesarquitetura-com-br.webnode.com,5,1,"R. dos Antúrios, N° 09 - Sl 02 - Polvilho, Cajamar - SP, 07790-800",https://maps.google.com/?cid=16067314595309154298&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
422,Studio Doma Arquitetura e Engenharia,Arq,Cajamar,(11) 97394-3650,studiodoma.com.br,,,"do Ipê 2 - R. Waldemar Meira, 330 - Portais (Polvilho), Cajamar - SP, 07790-795",https://maps.google.com/?cid=13539983421400823151&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
423,Studio LF Arquitetura,Arq,Cajamar,(11) 96650-7627,instagram.com,5,25,"Av. das Palmeiras, 250 - Portal dos Ipês II, Cajamar - SP, 07790-890",https://maps.google.com/?cid=13073153413409321303&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
424,Studio Natália Souza Arquitetura & Interiores,Arq,Cajamar,(11) 99555-4892,nataliasouza.arq.br,5,53,"R. Eucaliptos, n° 167 - Sl 23 - Portal dos Ipês III, Cajamar - SP, 07791-025",https://maps.google.com/?cid=9160664498537156889&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
425,Tamires Cristina Arquitetura & Interiores,Arq,Cajamar,(11) 99758-1502,,5,6,"R. Waldemar Meira, 602 - SALA 1 - Portal Ipês, Cajamar - SP, 07790-795",https://maps.google.com/?cid=2576439886743760590&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
426,Thiago Silva Arquitetura,Arq,Cajamar,(11) 97266-4404,sites.google.com,,,"Mais Viver - R. Dois, 116 - Cajamar, SP, 07750-792",https://maps.google.com/?cid=6305453842798966236&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
427,Alf construções e reformas,Constr,Cajamar,(11) 95066-6076,,5,1,"R. dos Jambeiros - Centro, Cajamar - SP, 07750-640",https://maps.google.com/?cid=16931638695185083034&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
428,Atlantic Construtora,Constr,Cajamar,(11) 97532-5675,construtoraatlantic.com.br,,,"R. das Amazonas, 210 - Portal dos Ipês II, Cajamar - SP, 07750-000",https://maps.google.com/?cid=18359479450041327467&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
429,CCelo Construções,Constr,Cajamar,(11) 99256-4638,,,,"Rua José Misael Herminio da Silva, 225 - Jardim Santana, Cajamar - SP, 07750-000",https://maps.google.com/?cid=14998665974544822349&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
430,COMPASSO ESTRUTURAL CONSTRUTORA E EMPREITEIRA LTDA,Constr,Cajamar,(11) 3976-7197,,5,2,"Avenida Doutor José Luíz Leme Maciel, 236 C1 262 - SÂO ROBERTO (JORDANÉSIA), Cajamar - SP, 07787-000",https://maps.google.com/?cid=759119901862778048&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
431,CONCRELONGO SERVIÇOS DE CONCRETAGEM,Constr,Cajamar,(11) 98631-5326,concrelongo.com.br,5,1,"Av. Buri, 05 - Parque Res. Jordanésia, Cajamar - SP, 07787-300",https://maps.google.com/?cid=12744994543691926198&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
432,CONSTRUTORA ESTILOS,Constr,Cajamar,(11) 2777-7240,construtoraestilos.com.br,5,4,"Av Tenente Marques 1250 Vila Planalto, Cajamar - SP, 07750-260 - Vila Granipavi, Cajamar - SP, 07790-260",https://maps.google.com/?cid=15423046223533621326&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
433,Ccr Autoban,Constr,Cajamar,(11) 4589-4151,,3.6,90,"Av. Alfonso Leopoldo Vogel, 1401 - Vila Uniao, Cajamar - SP, 07750-000",https://maps.google.com/?cid=13556916449826163846&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
434,Construtora Joia Brasil,Constr,Cajamar,(11) 99517-1122,joiabrasil.com.br,5,8,"Av. Deovair Cruz de Oliveira, 445 - Salão 01 - Jordanesia, Cajamar - SP, 07776-435",https://maps.google.com/?cid=9350668712122714962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
435,Construção e Reforma - Construction,Constr,Cajamar,(11) 4448-4495,,,,"R. das Amazonas, 42 - Polvilho, Cajamar - SP, 07790-850",https://maps.google.com/?cid=9226093830352900408&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
436,Damata matérias para construção,Constr,Cajamar,(11) 97420-0586,,5,1,"R. Embú - Ponunduva, Cajamar - SP, 07768-050",https://maps.google.com/?cid=9167560905912986224&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
437,Domínio Company em Soluções e Serviços LTDA.,Constr,Cajamar,(11) 98074-9838,dominiosolucoes.net,,,"R. Barueri, 336 - Guaturinho, Cajamar - SP, 07756-625",https://maps.google.com/?cid=12915637134473641677&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
438,Empreendimentos Jaraguá,Constr,Cajamar,(11) 4447-1194,,5,1,"R. Leme, 389 - Jardim Penteado, Cajamar - SP, 07750-000",https://maps.google.com/?cid=3694849631618048200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
439,Engemont,Constr,Cajamar,(11) 4448-7900,engemontdutos.com.br,4.7,100,"Av. Ten. Marques, 1170 - Polvilho, Cajamar - SP, 07790-260",https://maps.google.com/?cid=5162630656256186829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
440,Engenharia e Construções. M.J,Constr,Cajamar,(11) 97183-7412,,5,2,"R. Aparecida Delfino de Morais - Jardim Santana, Cajamar - SP, 07793-880",https://maps.google.com/?cid=10058321065017249668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
441,Engenheiro Civil Pedro Ribeiro,Constr,Cajamar,(11) 99788-2139,,,,"R. Antonio Carlos Paiva Camelo, 533 - Jardim Santana, Cajamar - SP, 07750-000",https://maps.google.com/?cid=8074869243209117826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
442,Grupo Mello,Constr,Cajamar,(11) 3164-4455,grupomellosp.com.br,4.3,6,"Av. Deovair Cruz de Oliveira, 322 - Jardim Nova Jordanésia, Cajamar - SP, 07776-436",https://maps.google.com/?cid=2908381147306524931&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
443,Grupo Shaft,Constr,Cajamar,(11) 99823-5259,,,,"R. Baldinos, 250 - Guaturinho, Cajamar - SP, 07756-580",https://maps.google.com/?cid=16978895861218711940&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
444,Grupo SteelCorp,Constr,Cajamar,(11) 96322-9898,steelcorp.tech,4.3,22,"Rua Doutor José Leal Mascarenhas, 100 - Av. Ten. Marques, 5 - Jardim Santana, Cajamar - SP, 07750-000",https://maps.google.com/?cid=12393304190419028322&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
445,JL Engenharia e Construcoes,Constr,Cajamar,(11) 4448-5331,jlengenhariaeconstrucoes.com.br,4.3,14,"R. das Amazonas, 328 - Ipês (Polvilho), Cajamar - SP, 07790-850",https://maps.google.com/?cid=912450733663815798&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
446,Jordanesia,Constr,Cajamar,,,4.7,3,"R. Itu, 167 - Jardim Penteado, Cajamar - SP, 07750-000",https://maps.google.com/?cid=11085785813028279825&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
447,LE Construções,Constr,Cajamar,(11) 94021-4347,chatdireto.com,,,"R. das Flores-de-Maio, 688 - Portais (Polvilho), Cajamar - SP, 07790-860",https://maps.google.com/?cid=14628831825447530532&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
448,LL Construção,Constr,Cajamar,(11) 99117-4218,llconstrucao.com.br,,,"R. dos Gerânios - Polvilho, Cajamar - SP, 07790-870",https://maps.google.com/?cid=12733643230069797446&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
449,LMD Construções e Incorporações,Constr,Cajamar,(11) 4408-7320,lmdconstrucoes.com.br,3.8,43,"Av. Pref. Juvenal Ferreira dos Santos, 241 - Vila Nova, Cajamar - SP, 07750-000",https://maps.google.com/?cid=15012028462563496440&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
450,Luguinho Construções,Constr,Cajamar,(11) 99520-6895,,5,1,"R. das Imbaúbas, 341 - Portais (Polvilho), Cajamar - SP, 07790-260",https://maps.google.com/?cid=2308684851547806601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
451,MSN Construções Ltda.,Constr,Cajamar,(11) 4156-6192,,2.7,3,"R. das Margaridas, 235 - Jardim Adelaide, Cajamar - SP, 07770-000",https://maps.google.com/?cid=3494675040258094421&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
452,Meta Construtora LSF,Constr,Cajamar,(11) 98178-6411,metaconstrutorasteel.com.br,,,"Av. Ten. Marques, 5380 - Jardim Adelaide, Cajamar - SP, 07790-845",https://maps.google.com/?cid=15158227420557238405&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
453,"MultMRM Estruturas Metálicas, Reforma Predial e Industrial",Constr,Cajamar,(11) 97394-2263,multmrm.com.br,,,"R. Caiva, 213 - Jardim Nova Cajamar, Cajamar - SP, 07793-830",https://maps.google.com/?cid=2380689395593321012&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
454,Nova Bandeirantes Construtora,Constr,Cajamar,(11) 4898-6627,,,,"Jardim Nova Jordanésia, Cajamar - SP, 07776-480, Brasil",https://maps.google.com/?cid=14302250989282799247&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
455,R.E Equipamentos e Transportes,Constr,Cajamar,(11) 98226-5539,reequipamentos.com.br,5,1,"R. Barra Bonita, 80 - Guaturinho, Cajamar - SP, 07756-605",https://maps.google.com/?cid=15477794509538365692&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
456,RML Engenharia & Construção,Constr,Cajamar,(11) 95343-8462,rmlengenharia.webnode.com,,,"Rua das Amarilis, 765 - Sala 2 - 3º Andar - Portal dos Ipês, Cajamar - SP, 07790-830",https://maps.google.com/?cid=14413179157487796666&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
457,TKG PRINT,Constr,Cajamar,,,,,"Av. Deovair Cruz de Oliveira - Jordanesia, Cajamar - SP, 07776-435",https://maps.google.com/?cid=2958102965796569030&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
458,VNSR OBRAS E MAQUINAS INDUSTRIAIS LTDA,Constr,Cajamar,,vrconstrucoesereformas.com,,,"R. Ver. João Cardoso, 732 - Jardim Carolina, Cajamar - SP, 07793-240",https://maps.google.com/?cid=4116646096503524572&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
459,ansreformas,Constr,Cajamar,(11) 96787-6752,ansreformas.com.br,5,31,"R. Luiz Magri, 484 - Polvilho, Cajamar - SP, 07792-225",https://maps.google.com/?cid=17869888720106469830&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
460,jcds construtora,Constr,Cajamar,(11) 99859-9567,jcdsconstrutora.wixsite.com,4.3,4,"Av. Pref. Juvenal Ferreira dos Santos - Vila Nova, Cajamar - SP, 07750-000",https://maps.google.com/?cid=15667493638539505345&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
