ID,Empresa,Categoria,Cidade,Telefone,Site,Nota,Avals,Status
237,Téses Arquitetura,Arquitetura,Jundiai,(11) 99970-2061,tesesarquitetura.com.br,5,25,Nao iniciado
238,Uyeno Arquitetura,Arquitetura,Jundiai,(11) 97132-3072,instagram.com,5,2,Nao iniciado
239,Vettori Arquitetura,Arquitetura,Jundiai,(11) 4522-5833,facebook.com,5,2,Nao iniciado
240,Vinícius Ferrari Borges Arquitetura e Interiores,Arquitetura,Jundiai,(11) 4587-6616,,5,7,Nao iniciado
241,Vitor Dias Arquitetura,Arquitetura,Jundiai,(11) 99622-7354,vdarquitetura.com,4.7,15,Nao iniciado
242,Vitor Mesquita Arquiteto em Jundiaí,Arquitetura,Jundiai,(11) 97483-1481,mesquitarquitetura.com.br,5,33,Nao iniciado
243,Vivian Vicentin - Arquitetura & Interiores,Arquitetura,Jundiai,(11) 97101-0494,,,,Nao iniciado
244,Viviane Bernucci Arquitetura,Arquitetura,Jundiai,(11) 94720-3337,vivianebernucci.com.br,4.9,33,Nao iniciado
245,Viviane Bonini Arquitetura e Interiores | Arquit,Arquitetura,Jundiai,(11) 99721-3674,api.whatsapp.com,5,48,Nao iniciado
246,"WA Arquitetura, Projetos & Construções",Arquitetura,Jundiai,(11) 93040-4050,,4.2,5,Nao iniciado
247,WS.ARQ - Arquitetura,Arquitetura,Jundiai,(11) 99523-8908,wsarq.com.br,5,2,Nao iniciado
248,ZORI Arquitetura,Arquitetura,Jundiai,(11) 98772-7028,,,,Nao iniciado
249,A.Fernandez Engenharia e Construções Ltda.,Construtora,Jundiai,(11) 3395-3700,afernandez.com.br,4.6,16,Nao iniciado
250,ABC da Construção Jundiaí,Construtora,Jundiai,(11) 4523-0324,abcdaconstrucao.com.br,4.3,12,Nao iniciado
251,ABMONT ENGENHARIA CONSTRUÇÕES,Construtora,Jundiai,(11) 95138-7311,projetosabmont.wixsite.com,3,2,Nao iniciado
252,AFRV Construções,Construtora,Jundiai,(11) 4521-4299,frvconstrucoes.com.br,,,Nao iniciado
253,ALX CONSTRUTORA,Construtora,Jundiai,(11) 94743-9404,alxconstrutora.com,,,Nao iniciado
254,ARV Construções,Construtora,Jundiai,(11) 4521-4143,,5,2,Nao iniciado
255,Alumínios Forgatti,Construtora,Jundiai,(11) 4587-1733,forgatti.com.br,4.4,118,Nao iniciado
256,Applausi,Construtora,Jundiai,(11) 4521-0994,applausiconstrutora.com.br,4.5,39,Nao iniciado
257,Aquarius Metais - Manutenção de Telhados Industr,Construtora,Jundiai,(11) 3963-0387,aquariusmetais.com.br,4.7,28,Nao iniciado
258,Arkesi Incorporações e Construções Ltda,Construtora,Jundiai,(11) 4601-1503,arkesi.com.br,4.8,5,Nao iniciado
259,Arquitech Engenharia e Construção,Construtora,Jundiai,(11) 99632-8630,arquitechconstrutora.com.br,4.5,11,Nao iniciado
260,C L A Jundiaí Empreendimento Imobiliar,Construtora,Jundiai,(11) 4492-5953,,4,55,Nao iniciado
261,CBM Construções,Construtora,Jundiai,(11) 4525-6500,,,,Nao iniciado
262,CBT CONSULTORIA,Construtora,Jundiai,(11) 99688-1400,cbtconsultoria.com,3.7,3,Nao iniciado
263,CCR Auto Ban,Construtora,Jundiai,0800 055 5550,grupoccr.com.br,4,313,Nao iniciado
264,CSR ENGENHARIA E CONSTRUÇÕES,Construtora,Jundiai,(11) 96372-0114,,4.5,2,Nao iniciado
265,Casa & Aço Construtora Ltda,Construtora,Jundiai,(11) 4533-8189,,3,2,Nao iniciado
266,Central de Vendas Auten Jundiaí,Construtora,Jundiai,(11) 91397-6808,auten.com.br,4.8,21,Nao iniciado
267,Central de vendas VVC construtora,Construtora,Jundiai,(11) 94714-1022,vvcconstrutora.com.br,5,2,Nao iniciado
268,Construtor V.A FERREIRA CONSTRUCAO CIVIL,Construtora,Jundiai,(11) 94204-1906,,,,Nao iniciado
269,Construtora & Hidráulica Guarany,Construtora,Jundiai,(11) 4586-8906,,5,1,Nao iniciado
270,Construtora AC,Construtora,Jundiai,,,,,Nao iniciado
271,Construtora Andrade Jundiaí Ltda,Construtora,Jundiai,,,5,1,Nao iniciado
272,Construtora Bessa & Bessa,Construtora,Jundiai,(11) 2449-1963,,2.3,3,Nao iniciado
273,Construtora Bianchini,Construtora,Jundiai,(11) 4586-0308,construtorabianchini.wordpress.com,,,Nao iniciado
274,Construtora Donadelli Mano,Construtora,Jundiai,(11) 4521-5223,,3,2,Nao iniciado
275,Construtora Faz Tudo,Construtora,Jundiai,(11) 94266-8211,faz-tudo.ueniweb.com,5,1,Nao iniciado
276,Construtora Gomes Lourenço,Construtora,Jundiai,(11) 4522-5797,,5,1,Nao iniciado
277,Construtora IP,Construtora,Jundiai,(11) 98935-1644,,5,16,Nao iniciado
278,Construtora Império JL,Construtora,Jundiai,(11) 91984-0215,construcoesimperio.com.br,1,1,Nao iniciado
279,Construtora J Oliveira,Construtora,Jundiai,(11) 4492-2205,,4.3,3,Nao iniciado
280,Construtora Jundiaí | Facilita Obras,Construtora,Jundiai,(11) 94678-4000,facilitaobras.com,5,3,Nao iniciado
281,Construtora Labore,Construtora,Jundiai,(11) 3963-0131,,2.3,3,Nao iniciado
282,Construtora Marcanti,Construtora,Jundiai,(11) 2448-4684,marcanti.com.br,,,Nao iniciado
283,Construtora Pacto Ltda.,Construtora,Jundiai,(11) 2816-8591,construtorapacto.com.br,1,2,Nao iniciado
284,Construtora S Luiz,Construtora,Jundiai,(11) 4582-4248,,2,1,Nao iniciado
285,Construtora Terra Nacional,Construtora,Jundiai,(11) 4583-3220,terranacional.com.br,5,12,Nao iniciado
286,Construtora WB,Construtora,Jundiai,(11) 4521-6661,portalwb.com.br,5,3,Nao iniciado
287,Construvision Construtora Jundiaí,Construtora,Jundiai,(11) 2709-9117,construvision.com.br,4,4,Nao iniciado
288,Construção Civil e Reformas,Construtora,Jundiai,(11) 97835-0242,,5,1,Nao iniciado
289,Contern-Construções Comércio,Construtora,Jundiai,(11) 4492-0845,,5,1,Nao iniciado
290,Controle tecnológico - CS Consultoria,Construtora,Jundiai,(11) 98148-5653,cscontroletecnologico.com.br,5,9,Nao iniciado
291,Correia Soluções,Construtora,Jundiai,(11) 97508-0157,correiasolucoes.com.br,4.9,10,Nao iniciado
292,Cunha Construções Reformas,Construtora,Jundiai,(11) 4606-3724,,4,1,Nao iniciado
293,César Harada Projetos e Construções,Construtora,Jundiai,(11) 4521-8911,,4.2,5,Nao iniciado
294,DOUTOR METAL,Construtora,Jundiai,(11) 96367-1940,doutormetal.com.br,5,5,Nao iniciado
295,DR CONSTRUÇÕES E REFORMA LTDA,Construtora,Jundiai,(11) 99408-4390,,5,1,Nao iniciado
296,Daniel Mendes Engenheiro Civil,Construtora,Jundiai,(11) 98320-0142,,,,Nao iniciado
297,Definitiva Construtora,Construtora,Jundiai,(11) 91012-2200,definitivaconstrutora.com.br,,,Nao iniciado
298,Denis Reformas e Construção Civil,Construtora,Jundiai,(11) 97741-6338,,5,3,Nao iniciado
299,Destro Casa & Construção - Jundiaí,Construtora,Jundiai,(11) 4497-1100,destro.com.br,4.6,319,Nao iniciado
300,Diniz Florentino Construções rústicas e engenhar,Construtora,Jundiai,(11) 94711-0408,,5,5,Nao iniciado
301,Diretiva Engenharia Construções,Construtora,Jundiai,(11) 4583-3666,diretivaengenharia.com.br,4.7,50,Nao iniciado
302,Duo Assessoria e Planejamento de Obras,Construtora,Jundiai,(11) 95286-6060,,5,1,Nao iniciado
303,ECM construção e reforma,Construtora,Jundiai,(11) 95236-8228,,,,Nao iniciado
304,ENCANAMEX - Encanador e Eletricista - 24h,Construtora,Jundiai,(11) 99851-8219,api.whatsapp.com,5,100,Nao iniciado
305,ENGETESB,Construtora,Jundiai,(11) 99674-6609,engetesb.com.br,5,4,Nao iniciado
306,ENG° EMERSON BARBOSA,Construtora,Jundiai,(11) 97455-3065,,,,Nao iniciado
307,EPS Suits Brasil,Construtora,Jundiai,(11) 91902-0010,suitsbrasil.com.br,4.5,20,Nao iniciado
308,Empresa de Construção Reforma Jundiaí,Construtora,Jundiai,(11) 3963-6663,,,,Nao iniciado
309,EngPro Solutions Construções e Instalações,Construtora,Jundiai,(11) 4492-5034,,5,1,Nao iniciado
310,Engeform S/A Construções e Comércio,Construtora,Jundiai,(11) 4521-3834,,,,Nao iniciado
311,Engenharia Civil e Construção - M. Ferreira,Construtora,Jundiai,(11) 7800-0985,mferreiraengenharia.com.br,,,Nao iniciado
312,Engenheiro Civil Daniel Hipólito Monteiro,Construtora,Jundiai,(11) 99672-6927,,5,1,Nao iniciado
313,Evicon Construções e Incorporações Ltda,Construtora,Jundiai,(11) 4586-4232,,1,5,Nao iniciado
314,Excelência Construções,Construtora,Jundiai,(11) 4815-5119,excelenciaconstrucoes.net.br,5,3,Nao iniciado
315,F construção,Construtora,Jundiai,(11) 97363-1192,f-comstrucoes.negocio.site,2,1,Nao iniciado
316,FP Montagem e Manutenção,Construtora,Jundiai,(11) 98835-7787,fpmontagem.com,4.5,2,Nao iniciado
317,Fabricação Instalação Portões Grades Corrimão Es,Construtora,Jundiai,(11) 4526-7728,serralheriamg.com.br,2.3,3,Nao iniciado
318,Fernandes e Silva Engenharia e Construções Eirel,Construtora,Jundiai,(11) 98922-0656,fernandesesilvaengenharia.com.br,,,Nao iniciado
319,Fernandez Mera,Construtora,Jundiai,(11) 4583-4111,fernandesmera.com.br,3.8,10,Nao iniciado
320,Furnari Engenharia e Construções,Construtora,Jundiai,(19) 97150-7394,,,,Nao iniciado
321,G + A Engenharia e Construção,Construtora,Jundiai,,,3.9,11,Nao iniciado
322,GC Reformas - Jundiaí SP,Construtora,Jundiai,(11) 97206-2692,sites.google.com,5,4,Nao iniciado
323,GOLDRush Retroescavadeira,Construtora,Jundiai,(11) 97889-9607,,,,Nao iniciado
324,Galpão Comercial,Construtora,Jundiai,(11) 4521-4175,,3,1,Nao iniciado
325,Galpões Brasil e Montecalvo Arq. e Const.,Construtora,Jundiai,(11) 4586-0598,galpoesbrasil.com,4.7,3,Nao iniciado
326,Gaspar Construções e Engenharia,Construtora,Jundiai,(11) 98691-2171,,5,13,Nao iniciado
327,Geral montagens,Construtora,Jundiai,,,,,Nao iniciado
328,Goldfarb Incorporações e Construções,Construtora,Jundiai,(11) 4497-0777,,,,Nao iniciado
329,Gonçalves Mão de Obra em Alvenaria,Construtora,Jundiai,(11) 99295-6547,goncalves-mao-de-obra-em-alvenaria,5,1,Nao iniciado
330,Grisotti Clonstrutora,Construtora,Jundiai,(11) 4607-0711,grisotti.com.br,4.5,13,Nao iniciado
331,Grupo Candido Irias,Construtora,Jundiai,(11) 97396-2098,grupocandidoirias.eng.br,5,31,Nao iniciado
332,HOLDER STEEL ESTRUTURAS METÁLICAS,Construtora,Jundiai,(11) 99655-0887,holdersteel.com.br,5,28,Nao iniciado
333,HS Empreendimentos e Participações,Construtora,Jundiai,(11) 4522-1096,,5,1,Nao iniciado
334,Helbor,Construtora,Jundiai,(11) 3174-1241,helbor.com.br,4.6,135,Nao iniciado
335,House 10,Construtora,Jundiai,(11) 97169-7110,house10jundiai.com.br,4.8,17,Nao iniciado
336,"Hs Empreiteira - Construções, Reformas e Projeto",Construtora,Jundiai,(11) 97305-9945,hsempreiteira.com.br,4.9,73,Nao iniciado
337,Iso Construções e Incorporações,Construtora,Jundiai,(11) 4492-6564,,3.4,7,Nao iniciado
338,J&M Controle Tecnológico,Construtora,Jundiai,(11) 97695-1101,jemcontroledequalidade.com.br,5,14,Nao iniciado
339,JA Construções,Construtora,Jundiai,(11) 4533-7852,,5,1,Nao iniciado
340,JC Obra & Construção Preventiva,Construtora,Jundiai,(11) 97749-1157,,,,Nao iniciado
341,JCV Construções,Construtora,Jundiai,(11) 97429-7769,,,,Nao iniciado
342,JPM Construtora,Construtora,Jundiai,(11) 4806-8740,,4.6,13,Nao iniciado
343,JRM Construção,Construtora,Jundiai,(11) 97107-2174,,5,1,Nao iniciado
344,Join Construções,Construtora,Jundiai,(11) 4431-1982,,1.6,7,Nao iniciado
345,Jundiaí I Incorporações Spe,Construtora,Jundiai,(11) 4525-2599,,4,1,Nao iniciado
346,Justo e Lopes Premium Homes,Construtora,Jundiai,(11) 99659-0125,lp.justoelopes.com.br,,,Nao iniciado
347,Krios Construções,Construtora,Jundiai,(11) 4521-6609,,5,6,Nao iniciado
348,LAX Construções Industriais,Construtora,Jundiai,(19) 99708-9556,lax.ind.br,5,4,Nao iniciado
349,LIRACONSTRUÇÕES,Construtora,Jundiai,(11) 94747-3218,liraconstrucoes.com.br,4.7,3,Nao iniciado
350,LTA VISA CONFORMIDADE,Construtora,Jundiai,(11) 95080-1575,instagram.com,,,Nao iniciado
351,Leal Monte siao,Construtora,Jundiai,,lealmontesiao.com.br,4.7,3,Nao iniciado
352,Levinci Construtora,Construtora,Jundiai,(11) 99950-4492,levinciconstrutora.com,5,8,Nao iniciado
353,MAILSON REPAROS & MANUTENÇÕES LTDA,Construtora,Jundiai,(96) 99169-5118,,5,62,Nao iniciado
354,MK GERENCIAMENTO DE SERVIÇOS,Construtora,Jundiai,(11) 96058-7454,mkoe.com.br,5,2,Nao iniciado
355,MPEZZI LTDA - Jundiaí - SP,Construtora,Jundiai,(11) 99369-2814,mpezzi.com.br,5,1,Nao iniciado
356,MPR. Construção Civil do alicerce ao acabamento.,Construtora,Jundiai,(11) 95703-3667,,5,1,Nao iniciado
357,MSB Construção e Administração de Obras,Construtora,Jundiai,(11) 94120-2086,,,,Nao iniciado
358,MULTI MOBILE - Diviart,Construtora,Jundiai,(11) 4526-1386,multimobile.com.br,4.4,36,Nao iniciado
359,Macedo Imóveis & Construções,Construtora,Jundiai,(11) 97496-9186,engenheirolucasmac.wixsite.com,,,Nao iniciado
360,Mais Viver Edificações,Construtora,Jundiai,(11) 94024-3246,maisviveredificacoes.com,,,Nao iniciado
361,Mari Zambon - Studio PontoCO,Construtora,Jundiai,(11) 96866-1936,marizambon.com,5,18,Nao iniciado
362,Mattias Construção Reforma e Manutenção,Construtora,Jundiai,(11) 99146-3021,instagram.com,5,4,Nao iniciado
363,Mdp Basso,Construtora,Jundiai,4535-2167,,,,Nao iniciado
364,Mediatriz Engenharia e Construções,Construtora,Jundiai,(11) 2709-0914,,5,4,Nao iniciado
365,Mega Projetos & Construções,Construtora,Jundiai,(11) 4586-9025,construtoramega.com.br,4.6,12,Nao iniciado
366,Metais Lambert,Construtora,Jundiai,(11) 4526-1157,metaislambert.com,4.2,13,Nao iniciado
367,Metal Gold Calhas,Construtora,Jundiai,(11) 98836-9409,metalgoldjundiai.com.br,4.8,46,Nao iniciado
368,Mistral Jundiaí e Epic Jundiaí - Construtora Ink,Construtora,Jundiai,(11) 98708-4610,inkkorp.com.br,5,5,Nao iniciado
369,Modelar Construtora,Construtora,Jundiai,(11) 4582-7070,modelarconstrutora.com.br,4.8,6,Nao iniciado
370,Monolite Brasil,Construtora,Jundiai,(11) 93333-5406,monolitebrasil.com.br,5,9,Nao iniciado
371,Nexo Construtora,Construtora,Jundiai,(11) 3378-8545,,3.7,15,Nao iniciado
372,Nivoloni Projetos,Construtora,Jundiai,(11) 4588-7777,nivoloniprojetos.com.br,5,3,Nao iniciado
373,ORDINE USINA DE ASFALTO,Construtora,Jundiai,(11) 91552-0568,ordine.com.br,4.8,8,Nao iniciado
374,Ometro Construções,Construtora,Jundiai,(11) 3964-8500,,5,4,Nao iniciado
375,Operacional Projetos E Construções Ltda,Construtora,Jundiai,,,3.7,3,Nao iniciado
376,P&G Construções e Reformas,Construtora,Jundiai,(11) 99792-5162,pegconstrucao.com.br,3.9,24,Nao iniciado
377,P.A Hidráulica - Serviço autorizado Deca Hydra J,Construtora,Jundiai,(11) 94326-5580,sadeca.com.br,4.8,278,Nao iniciado
378,PCA PROJETOS,Construtora,Jundiai,(11) 4586-2127,pcaproj.com.br,,,Nao iniciado
379,PMARTIM - ESTRUTURAS METÁLICAS,Construtora,Jundiai,(11) 94857-1822,,,,Nao iniciado
380,Pegasus Pintura em Geral - Manutenção e Pintura ,Construtora,Jundiai,(11) 95318-1346,sites.google.com,5,37,Nao iniciado
381,Piaia Máquinas e Transportes,Construtora,Jundiai,(11) 4581-5579,piaiamaquinasetransportes.com.br,5,4,Nao iniciado
382,Pratcasas Construtora,Construtora,Jundiai,(11) 4863-1611,instagram.com,,,Nao iniciado
383,Privato Lima Construtora,Construtora,Jundiai,(11) 95071-4998,instagram.com,4.8,20,Nao iniciado
384,Profit Construtora,Construtora,Jundiai,(11) 94030-9724,,,,Nao iniciado
385,Projetos RZP,Construtora,Jundiai,(11) 99908-2316,instagram.com,,,Nao iniciado
386,Pétrus construtora,Construtora,Jundiai,(11) 91342-7792,construpetrus.com.br,5,1,Nao iniciado
387,Quadrante Eng e Construção,Construtora,Jundiai,(11) 94764-5210,,5,2,Nao iniciado
388,QualyForma,Construtora,Jundiai,,,3.7,3,Nao iniciado
389,RE Rede Elétrica Construções Ltda.,Construtora,Jundiai,(11) 3446-2475,,,,Nao iniciado
390,ROMME CONSTRUTORA LTDA,Construtora,Jundiai,(11) 99860-3215,romme.com.br,4.4,8,Nao iniciado
391,RR Construtora,Construtora,Jundiai,(11) 2709-9120,,3.3,3,Nao iniciado
392,Ranker Empreendimentos,Construtora,Jundiai,(11) 97236-9949,ranker.eng.br,5,7,Nao iniciado
393,Reforma e Construção Construtora em Jundiaí e Re,Construtora,Jundiai,(11) 94775-7688,,,,Nao iniciado
394,Romep Construtora,Construtora,Jundiai,(11) 4584-7042,,3,1,Nao iniciado
395,Roofing Construtora.,Construtora,Jundiai,(11) 94026-0114,roofingconstrutora.com.br,5,15,Nao iniciado
396,SB Pré-Fabricados,Construtora,Jundiai,(11) 3963-0585,sbprefabricados.eng.br,5,3,Nao iniciado
397,SOLPI Instalações Industrializadas,Construtora,Jundiai,(11) 4216-1073,solpi.com.br,4.9,30,Nao iniciado
398,SOUL Construções e Projetos,Construtora,Jundiai,(11) 97399-4894,soulconstrucoeseprojetos.com.br,5,7,Nao iniciado
399,SUSTINERI CONSTRUTORA JUNDIAÍ,Construtora,Jundiai,(11) 96920-6410,sustinericonstrutora.com.br,5,8,Nao iniciado
400,Santa Angela Construtora,Construtora,Jundiai,(11) 3109-7000,santaangelaconstrutora.com.br,4.1,269,Nao iniciado
401,Saúvas Construtora,Construtora,Jundiai,(11) 4521-3190,sauvas.com,4.3,4,Nao iniciado
402,Schinalle,Construtora,Jundiai,(11) 4586-2387,schinalle.com.br,4.8,5,Nao iniciado
403,Seara Projetos Empreendimentos Participações,Construtora,Jundiai,(11) 4584-0738,,4,2,Nao iniciado
404,Sistema Pré-Fabricados,Construtora,Jundiai,(11) 4815-1511,sistemaprefabricados.com.br,4.5,4,Nao iniciado
405,Sotin,Construtora,Jundiai,(11) 4863-0330,sotin.com.br,5,7,Nao iniciado
406,Steel Construções,Construtora,Jundiai,(11) 99642-2522,steelco.com.br,3.3,8,Nao iniciado
407,TR7 Engenharia e Construção,Construtora,Jundiai,,,5,2,Nao iniciado
408,Terra Viva Construtora,Construtora,Jundiai,(11) 96786-3234,terravivaconstrutora.com.br,,,Nao iniciado
409,Tetraktys Construção Civil,Construtora,Jundiai,(11) 99531-5656,,,,Nao iniciado
410,Urbitec Construções,Construtora,Jundiai,(11) 4523-5111,urbitecconstrucoes.com.br,4.6,12,Nao iniciado
411,VOS Obras e Serviços jundiaí,Construtora,Jundiai,(11) 5035-5050,,4.8,17,Nao iniciado
412,VVC Construtora,Construtora,Jundiai,(11) 4521-7641,vvcconstrutora.com.br,4.3,16,Nao iniciado
413,Villagio dos Eucaliptos - Emccamp,Construtora,Jundiai,0800 200 7070,emccamp.com.br,4.5,4,Nao iniciado
414,Vão Livre Projetos e Construção Civil Ltda,Construtora,Jundiai,(11) 3395-5117,vaolivreconstrutora.com.br,5,2,Nao iniciado
415,WT Construtora,Construtora,Jundiai,(11) 4581-3723,,4,2,Nao iniciado
416,Wolff Engenharia e Construções,Construtora,Jundiai,(11) 3378-8248,wolff.eng.br,,,Nao iniciado
417,Wtorre Engenharia Construção,Construtora,Jundiai,(11) 4525-2093,,,,Nao iniciado
418,XPlan – Gerenciamento e Construção,Construtora,Jundiai,(11) 4522-2202,xplan.eng.br,,,Nao iniciado
419,Yes Ideal Living Jundiaí,Construtora,Jundiai,(11) 4525-1043,,4.4,191,Nao iniciado
420,construção civil em jundiaí,Construtora,Jundiai,(11) 96411-2093,,3,1,Nao iniciado
421,construções comerciais,Construtora,Jundiai,(11) 4601-2429,,5,1,Nao iniciado
422,g maxi,Construtora,Jundiai,(11) 5511-7520,gmaxi.com.br,,,Nao iniciado
423,iBUILD Construções Inteligentes,Construtora,Jundiai,(11) 99570-7241,ibuildconstrutora.com.br,,,Nao iniciado
424,iG4 CONSTRUTORA,Construtora,Jundiai,(11) 4497-1477,ig4.com.br,5,1,Nao iniciado
425,jundreparos e reformas,Construtora,Jundiai,(19) 99929-1569,,,,Nao iniciado
426,jundsteel,Construtora,Jundiai,(11) 97966-7136,jundsteel.com,5,12,Nao iniciado
427,Chinelatto Sua Empreiteira de Obras,Empreiteira,Jundiai,(11) 4533-3208,,,,Nao iniciado
428,Empreiteira Camargo Silva,Empreiteira,Jundiai,(11) 2092-4347,,5,1,Nao iniciado
429,Empreiteira Jundiaí,Empreiteira,Jundiai,(11) 98461-1532,empreiteirajundiai.com.br,4.6,74,Nao iniciado
430,Empreiteiro de obra,Empreiteira,Jundiai,(11) 93313-3581,construcoes.my.canva.site,4.9,68,Nao iniciado
431,L.Ventura empreiteira de obras cívil,Empreiteira,Jundiai,(11) 98492-6501,,,,Nao iniciado
432,Torres R. A Empreiteira,Empreiteira,Jundiai,(11) 2449-0589,torresra.com.br,4.3,3,Nao iniciado
433,AFZ Engenharia,Engenharia,Jundiai,(11) 4581-1837,afzengenharia.com.br,4.8,28,Nao iniciado
434,AUGUSTO ENGENHARIA JUNDIAI LTDA,Engenharia,Jundiai,(11) 95040-9236,augustoengenharia.com.br,5,6,Nao iniciado
435,Almeida & Ito Engenharia,Engenharia,Jundiai,(11) 99292-2666,,,,Nao iniciado
436,Alvaz - Sistema Integrado de Engenharia,Engenharia,Jundiai,(11) 91709-6242,alvaz.eng.br,,,Nao iniciado
437,Amancio Engenharia,Engenharia,Jundiai,(11) 96182-0267,sites.google.com,,,Nao iniciado
438,Araki Engenharia | Laudos e Perícias,Engenharia,Jundiai,(11) 98742-9002,arakiengenharia.com.br,5,6,Nao iniciado
439,BOCCANERA ENGENHARIA E CONSULTORIA,Engenharia,Jundiai,(11) 91309-3988,,,,Nao iniciado
440,BRAP Engenharia,Engenharia,Jundiai,(11) 3395-9506,brapengenharia.com.br,5,1,Nao iniciado
441,BSIG engenharia,Engenharia,Jundiai,(11) 4586-1202,,5,1,Nao iniciado
442,BSS Engenharia,Engenharia,Jundiai,(11) 99339-6254,bssengenharia.com.br,,,Nao iniciado
443,Bremser Engenharia,Engenharia,Jundiai,(11) 94100-4815,bremser.com.br,5,1,Nao iniciado
444,"CAPE Consultoria, Avaliações e Perícias de Engen",Engenharia,Jundiai,(11) 4586-7571,cape.eng.br,5,8,Nao iniciado
445,"CAQP Engenharia, Administração Ltda",Engenharia,Jundiai,(11) 95756-8215,caqp.com.br,,,Nao iniciado
446,CASF Engenharia,Engenharia,Jundiai,(11) 2816-7524,casfengenharia.com.br,4.5,2,Nao iniciado
447,CM1 Engenharia e serviços Ltda,Engenharia,Jundiai,(19) 98979-9016,,,,Nao iniciado
448,CONSTRON ENGENHARIA,Engenharia,Jundiai,(11) 93080-0870,,3.7,6,Nao iniciado
449,Cer Assessoria E Engenharia,Engenharia,Jundiai,(11) 99966-9595,cereng.com.br,5,1,Nao iniciado
450,Civiltech Engenharia e Projetos Ltda,Engenharia,Jundiai,(11) 4587-8833,civiltech.eng.br,5,2,Nao iniciado
451,Concretizeja Engenharia,Engenharia,Jundiai,(11) 97040-3533,concretizeja.com.br,5,5,Nao iniciado
452,Construgold Engenharia,Engenharia,Jundiai,(11) 99956-9005,,,,Nao iniciado
453,Criare Engenharia,Engenharia,Jundiai,,,,,Nao iniciado
454,Cypriani Engenharia,Engenharia,Jundiai,(11) 97451-0528,cyprianiengenharia.com.br,5,16,Nao iniciado
455,DCenco Engenharia de Instalações,Engenharia,Jundiai,(11) 3963-4515,dcenco.com.br,4.7,24,Nao iniciado
456,DM Sabetta Engenharia,Engenharia,Jundiai,(11) 95306-0839,dmsabetta.com.br,5,3,Nao iniciado
457,DMB Consultoria em Engenharia,Engenharia,Jundiai,(11) 99278-5788,dmbengenharia.com.br,,,Nao iniciado
458,Daniela Amaral Engenharia e Consultoria de Imóve,Engenharia,Jundiai,(11) 98854-8190,,5,1,Nao iniciado
459,Dantech Engenharia,Engenharia,Jundiai,(11) 2709-0588,dantech.eng.br,4.3,26,Nao iniciado
460,Domus Engenharia,Engenharia,Jundiai,(11) 4497-0750,domusengenharia.com.br,4,4,Nao iniciado
461,E.F Engenharia & Consultoria,Engenharia,Jundiai,(11) 95045-6268,,5,1,Nao iniciado
462,EASY Soluções em Engenharia e Manutenção,Engenharia,Jundiai,(11) 95308-8391,solucoeseasy.com,5,1,Nao iniciado
463,ECivil Engenharia,Engenharia,Jundiai,(11) 95373-7980,ecivilengenharia.wixsite.com,,,Nao iniciado
464,EJ. Engenharia e Projetos Ltda,Engenharia,Jundiai,(11) 94794-0347,,,,Nao iniciado
465,ELEMENTO - Projetos Estruturais,Engenharia,Jundiai,(11) 97293-0033,elementoprojetos.com.br,5,20,Nao iniciado
466,ENG Engenharia Instalação e Manutenção Ltda,Engenharia,Jundiai,(11) 95692-4425,enginstalacaoemanutencao.com.br,5,29,Nao iniciado
467,ENGPLAN - Engenharia e Planejamento de Obras,Engenharia,Jundiai,(11) 93369-1026,contatoengplan.wixsite.com,,,Nao iniciado
468,EXO7 Build | Engenharia Integrada,Engenharia,Jundiai,(11) 97098-9072,exo7build.com.br,,,Nao iniciado
469,Edifica Engenharia e Empreendimentos LTDA,Engenharia,Jundiai,(11) 94627-2596,edifica.emp.br,4.5,2,Nao iniciado
470,Engenharia Civil - Paula Moreira,Engenharia,Jundiai,(11) 97629-8648,wix.to,,,Nao iniciado
471,Engenharia EA3,Engenharia,Jundiai,(11) 91273-1736,ea3engenharia.com.br,3,2,Nao iniciado
472,Engenharia Honorio,Engenharia,Jundiai,(11) 94566-4044,engenhariahonorio.com.br,5,7,Nao iniciado
473,Erbe Engenharia Agrimensura,Engenharia,Jundiai,(11) 4526-5882,,5,2,Nao iniciado
474,Estati Engenharia,Engenharia,Jundiai,(11) 3109-2684,estatiengenharia.com.br,5,32,Nao iniciado
475,FF Engenharia e Projetos,Engenharia,Jundiai,(11) 99724-5055,ffengenhariaeprojetos.com.br,,,Nao iniciado
476,FLUXO ENGENHARIA,Engenharia,Jundiai,(11) 3379-0203,fluxoengenharia.com,5,2,Nao iniciado
477,FM Engenharia Estrutural,Engenharia,Jundiai,(11) 4581-4139,,,,Nao iniciado
478,FME - Soluções em Engenharia,Engenharia,Jundiai,(11) 97175-9914,engenhariafme.com.br,5,18,Nao iniciado
479,Fauke Engenharia,Engenharia,Jundiai,(11) 98207-0977,fauke.com.br,,,Nao iniciado
480,Ferrão Engenharia,Engenharia,Jundiai,(11) 4521-0801,ricardoferrao.com.br,5,1,Nao iniciado
481,Freire & Oliveira Engenharia,Engenharia,Jundiai,(11) 4431-7060,freireoliveira.com.br,5,4,Nao iniciado
482,GerEnge Engenharia,Engenharia,Jundiai,(11) 94114-8172,gerenge.eng.br,5,1,Nao iniciado
483,Gnering Engenharia e Gerenciamento,Engenharia,Jundiai,(11) 94722-3565,gnering.com.br,,,Nao iniciado
